Category,CategoryItems,WikidataDescription
Human,Q5,human
Wikimedia_Internal,"Q4167836, Q4167410, Q11266439","Wikimedia category, Wikimedia disambiguation page, wikimedia template"
Work Of Art,Q838948,work of art
Book,Q571,book
Geographical Object,Q618123,geographical object
Organization,"Q783794, Q988108, Q43229","company, club, organization"
Architectural Structure,"Q4989906, Q41176","monument, building"
Gene,Q7187,gene
Chemical Entities,"Q11344, Q11173, Q79529","chemical element, chemical compound, chemical substance"
Astronomical Object,Q6999,astronomical object
Taxon,Q16521,taxon
Event,Q1656682,event
Thoroughfare,Q83620,thoroughfare
